order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
134,287,Pending,2016-03-27,2016-04-06,2016-03-28,1,2
135,1011,Completed,2016-03-27,2016-04-03,2016-03-29,1,1
136,778,Completed,2016-03-28,2016-04-10,2016-04-02,2,6
137,345,Shipped,2016-03-28,2016-04-02,2016-03-29,1,10
138,642,Pending,2016-03-29,2016-04-12,2016-03-31,1,2
139,382,Completed,2016-03-30,2016-04-06,2016-03-31,2,8
140,690,Completed,2016-03-30,2016-04-04,2016-04-15,1,6
141,1277,Processing,2016-03-30,2016-04-05,2016-04-01,3,5
142,1080,Processing,2016-03-31,2016-04-12,,1,2
143,457,Completed,2016-03-31,2016-04-11,2016-04-08,1,7
144,983,Cancelled,2016-04-01,2016-04-07,2016-04-02,2,2
145,83,Completed,2016-04-02,2016-04-08,2016-04-06,2,5
146,1123,Completed,2016-04-02,2016-04-15,,3,2
147,149,Completed,2016-04-02,2016-04-12,2016-04-03,1,10
148,1353,Completed,2016-04-03,2016-04-12,2016-04-10,3,2
149,1180,Processing,2016-04-03,2016-04-17,2016-04-05,3,7
150,190,Completed,2016-04-03,2016-04-13,2016-04-05,2,9
151,883,Completed,2016-04-03,2016-04-16,2016-04-06,1,5
152,263,Shipped,2016-04-05,2016-04-16,2016-04-16,2,7
153,1104,Completed,2016-04-05,2016-04-19,,3,4
154,400,Completed,2016-04-06,2016-04-20,2016-04-14,3,2
155,764,Completed,2016-04-06,2016-04-19,2016-04-07,2,3
156,609,Completed,2016-04-07,2016-04-15,2016-04-16,2,2
157,1284,Completed,2016-04-07,2016-04-13,2016-04-22,2,5
158,785,Pending,2016-04-08,2016-04-20,,2,6
159,101,Completed,2016-04-09,2016-04-17,2016-04-12,2,7
160,1383,Completed,2016-04-09,2016-04-22,2016-04-14,3,3
161,1404,Processing,2016-04-10,2016-04-18,,2,4
162,820,Pending,2016-04-10,2016-04-22,2016-04-11,1,8
163,1245,Completed,2016-04-11,2016-04-24,2016-04-12,3,4
164,820,Completed,2016-04-12,2016-04-25,2016-04-25,3,7
165,420,Completed,2016-04-12,2016-04-26,2016-04-20,1,6
166,124,Completed,2016-04-12,2016-04-20,,1,7
167,422,Completed,2016-04-13,2016-04-18,2016-04-16,3,1
168,1255,Completed,2016-04-14,2016-04-21,2016-04-15,2,3
169,1087,Shipped,2016-04-14,2016-04-27,2016-04-17,3,6
170,768,Completed,2016-04-16,2016-04-24,2016-04-19,3,3
171,483,Processing,2016-04-16,2016-04-25,2016-04-21,1,7
172,519,Completed,2016-04-17,2016-04-28,2016-04-27,3,9
173,155,Processing,2016-04-18,2016-04-27,2016-04-19,2,3
174,92,Pending,2016-04-20,2016-04-28,2016-04-23,1,1
175,982,Processing,2016-04-20,2016-04-26,,3,10
176,455,Completed,2016-04-21,2016-04-27,2016-04-22,3,6
177,598,Completed,2016-04-21,2016-04-29,2016-04-29,2,1
178,510,Completed,2016-04-21,2016-05-05,2016-04-24,3,1
179,1207,Processing,2016-04-22,2016-05-06,2016-04-29,3,8
180,386,Completed,2016-04-22,2016-05-05,2016-04-25,3,9
181,405,Completed,2016-04-23,2016-05-05,2016-04-24,3,2
182,246,Completed,2016-04-24,2016-05-01,2016-05-03,2,9
183,742,Completed,2016-04-24,2016-05-07,2016-04-25,3,5
184,661,Completed,2016-04-24,2016-05-03,,3,8
185,650,Completed,2016-04-26,2016-05-03,2016-05-06,3,7
186,901,Cancelled,2016-04-26,2016-05-05,2016-05-02,1,7
187,65,Processing,2016-04-27,2016-05-11,2016-05-01,2,4
188,1037,Cancelled,2016-04-27,2016-05-05,2016-05-04,1,2
189,213,Completed,2016-04-27,2016-05-09,2016-05-02,1,5
190,242,Shipped,2016-04-28,2016-05-07,2016-05-04,2,3
191,493,Processing,2016-04-30,2016-05-14,2016-05-01,1,9
192,1237,Pending,2016-04-30,2016-05-12,2016-05-04,1,6
193,338,Pending,2016-05-01,2016-05-14,2016-05-03,1,1
194,173,Completed,2016-05-01,2016-05-09,2016-05-07,2,3
195,672,Processing,2016-05-02,2016-05-13,2016-05-03,3,4
196,164,Completed,2016-05-02,2016-05-08,2016-05-10,2,9
197,465,Completed,2016-05-03,2016-05-13,2016-05-06,2,6
198,995,Completed,2016-05-04,2016-05-16,2016-05-07,2,4
199,497,Shipped,2016-05-04,2016-05-15,2016-05-13,1,1
200,700,Shipped,2016-05-05,2016-05-16,2016-05-08,3,8
201,395,Cancelled,2016-05-06,2016-05-18,2016-05-15,2,2
202,703,Pending,2016-05-07,2016-05-18,2016-05-09,2,8
203,308,Completed,2016-05-08,2016-05-17,2016-05-11,3,6
204,183,Completed,2016-05-08,2016-05-19,2016-05-09,3,8
205,629,Completed,2016-05-08,2016-05-22,2016-05-11,3,6
206,510,Completed,2016-05-08,2016-05-15,2016-05-09,1,5
207,546,Completed,2016-05-08,2016-05-17,2016-05-22,3,5
208,624,Completed,2016-05-09,2016-05-20,2016-05-10,1,10
209,594,Completed,2016-05-10,2016-05-23,2016-05-11,2,10
210,744,Shipped,2016-05-10,2016-05-16,,1,8
211,1251,Completed,2016-05-11,2016-05-19,2016-05-14,3,7
212,554,Shipped,2016-05-11,2016-05-22,2016-05-13,1,8
213,21,Pending,2016-05-11,2016-05-16,2016-05-27,3,8
214,554,Completed,2016-05-12,2016-05-18,2016-05-13,1,7
215,397,Completed,2016-05-12,2016-05-25,2016-05-15,2,2
216,625,Completed,2016-05-13,2016-05-27,2016-05-14,1,9
217,105,Completed,2016-05-13,2016-05-24,2016-05-14,2,7
218,192,Pending,2016-05-13,2016-05-27,2016-05-20,3,6
219,17,Completed,2016-05-16,2016-05-27,2016-05-20,2,9
220,1144,Completed,2016-05-16,2016-05-26,2016-05-22,3,1
221,393,Completed,2016-05-17,2016-05-24,,3,2
222,425,Cancelled,2016-05-19,2016-06-02,2016-05-20,2,1
223,129,Processing,2016-05-19,2016-05-26,2016-05-21,2,10
224,1154,Processing,2016-05-19,2016-05-25,2016-05-20,1,3
225,572,Completed,2016-05-20,2016-05-30,2016-05-21,1,5
226,29,Processing,2016-05-20,2016-05-28,2016-05-23,2,1
227,1121,Processing,2016-05-21,2016-05-30,,2,4
228,1034,Pending,2016-05-21,2016-05-28,2016-06-04,2,8
229,242,Cancelled,2016-05-21,2016-05-31,2016-05-23,2,6
230,232,Completed,2016-05-21,2016-05-28,2016-05-24,3,1
231,789,Shipped,2016-05-22,2016-06-03,2016-05-28,2,1
232,1308,Shipped,2016-05-23,2016-06-05,2016-06-14,2,3
233,715,Completed,2016-05-23,2016-05-31,2016-05-28,2,10
234,759,Completed,2016-05-24,2016-06-06,,2,8
235,802,Cancelled,2016-05-25,2016-06-05,2016-05-26,3,8
236,776,Completed,2016-05-26,2016-06-02,2016-06-03,1,3
237,726,Completed,2016-05-27,2016-06-07,2016-05-30,1,7
238,200,Cancelled,2016-05-29,2016-06-03,2016-05-30,1,3
239,945,Completed,2016-05-29,2016-06-05,2016-05-31,1,4
240,79,Completed,2016-05-29,2016-06-08,2016-06-01,1,9
241,956,Completed,2016-05-29,2016-06-06,,3,4
242,856,Completed,2016-05-30,2016-06-10,,1,3
243,1197,Completed,2016-06-01,2016-06-08,2016-06-03,3,5
244,467,Completed,2016-06-01,2016-06-06,2016-06-06,3,7
245,581,Pending,2016-06-01,2016-06-14,2016-06-04,1,5
246,1440,Completed,2016-06-01,2016-06-11,2016-06-02,1,4
247,940,Processing,2016-06-01,2016-06-13,2016-06-08,1,8
248,449,Pending,2016-06-02,2016-06-09,2016-06-05,2,4
249,87,Completed,2016-06-02,2016-06-14,2016-06-06,3,2
250,101,Pending,2016-06-02,2016-06-08,2016-06-06,1,10
251,1032,Completed,2016-06-03,2016-06-11,2016-06-04,2,6
252,845,Completed,2016-06-03,2016-06-10,,3,2
253,1224,Completed,2016-06-05,2016-06-19,2016-06-06,2,3
254,87,Shipped,2016-06-05,2016-06-10,2016-06-11,2,1
255,43,Completed,2016-06-07,2016-06-18,2016-06-16,1,5
256,1409,Completed,2016-06-10,2016-06-24,2016-06-11,3,9
257,408,Pending,2016-06-11,2016-06-17,2016-06-13,2,2
258,664,Completed,2016-06-11,2016-06-19,2016-06-14,3,7
259,1041,Completed,2016-06-13,2016-06-26,2016-07-04,1,5
260,148,Completed,2016-06-13,2016-06-23,,3,2
261,277,Pending,2016-06-14,2016-06-26,2016-06-15,2,8
262,232,Processing,2016-06-15,2016-06-21,2016-06-16,2,6
263,366,Completed,2016-06-15,2016-06-26,2016-06-18,3,4
264,1252,Completed,2016-06-16,2016-06-26,2016-06-20,2,4
265,436,Completed,2016-06-16,2016-06-29,2016-06-17,2,2
266,399,Pending,2016-06-16,2016-06-27,2016-06-20,2,3
267,1235,Completed,2016-06-17,2016-06-22,2016-06-18,1,7
268,1415,Completed,2016-06-18,2016-06-30,2016-06-19,1,3
269,499,Completed,2016-06-18,2016-07-02,2016-06-25,2,5
270,540,Completed,2016-06-19,2016-06-26,2016-06-20,3,10
271,563,Completed,2016-06-19,2016-06-25,2016-06-24,1,6
272,442,Completed,2016-06-19,2016-06-26,2016-06-26,3,6
273,1285,Completed,2016-06-20,2016-06-30,2016-06-25,2,4
274,773,Pending,2016-06-22,2016-06-29,2016-06-23,2,6
275,350,Completed,2016-06-23,2016-07-07,2016-06-24,3,3
276,1376,Shipped,2016-06-24,2016-07-03,,1,7
277,520,Completed,2016-06-25,2016-07-05,2016-06-27,3,7
278,1344,Processing,2016-06-25,2016-07-07,2016-06-30,3,4
279,138,Pending,2016-06-25,2016-07-06,,2,2
280,992,Completed,2016-06-25,2016-07-07,2016-06-26,1,7
281,368,Completed,2016-06-27,2016-07-04,2016-06-29,3,3
282,1244,Pending,2016-06-27,2016-07-05,,1,1
283,1361,Completed,2016-06-28,2016-07-08,2016-06-29,2,2
284,1247,Shipped,2016-06-28,2016-07-09,2016-06-30,1,10
285,360,Completed,2016-06-28,2016-07-11,2016-07-06,2,9
286,921,Shipped,2016-06-28,2016-07-03,2016-06-30,1,8
287,329,Completed,2016-07-01,2016-07-13,2016-07-02,3,6
288,962,Processing,2016-07-01,2016-07-13,2016-07-07,2,6
289,463,Pending,2016-07-01,2016-07-11,2016-07-03,3,1
290,946,Processing,2016-07-02,2016-07-10,2016-07-06,2,2
291,963,Completed,2016-07-02,2016-07-09,2016-07-23,1,4
292,1406,Pending,2016-07-02,2016-07-09,2016-07-04,1,3
293,836,Completed,2016-07-03,2016-07-13,2016-07-15,2,1
294,169,Processing,2016-07-04,2016-07-16,2016-07-05,2,8
295,217,Completed,2016-07-04,2016-07-15,2016-07-13,2,7
296,378,Shipped,2016-07-05,2016-07-10,2016-07-10,1,4
297,119,Completed,2016-07-06,2016-07-16,2016-07-17,2,9
298,190,Processing,2016-07-06,2016-07-17,2016-07-07,2,4
299,767,Shipped,2016-07-07,2016-07-18,2016-07-13,3,1
300,370,Processing,2016-07-08,2016-07-21,2016-07-12,2,10
301,149,Completed,2016-07-08,2016-07-22,2016-07-15,3,1
302,652,Completed,2016-07-08,2016-07-17,2016-07-09,3,1
303,770,Cancelled,2016-07-09,2016-07-14,2016-07-10,3,1
304,374,Completed,2016-07-09,2016-07-15,2016-07-10,1,4
305,781,Completed,2016-07-11,2016-07-19,2016-07-14,3,1
306,160,Pending,2016-07-12,2016-07-21,2016-07-17,2,2
307,351,Processing,2016-07-12,2016-07-25,2016-07-13,1,4
308,1312,Completed,2016-07-12,2016-07-17,2016-07-21,1,7
309,1312,Pending,2016-07-12,2016-07-19,2016-07-30,1,2
310,892,Processing,2016-07-12,2016-07-21,2016-07-15,1,8
311,1250,Completed,2016-07-13,2016-07-20,2016-07-14,1,7
312,523,Shipped,2016-07-13,2016-07-21,2016-07-18,1,9
313,522,Completed,2016-07-14,2016-07-21,2016-07-27,1,6
314,783,Completed,2016-07-15,2016-07-23,,3,4
315,273,Completed,2016-07-16,2016-07-21,2016-07-20,2,6
316,936,Completed,2016-07-17,2016-07-29,2016-07-18,2,4
317,1426,Shipped,2016-07-17,2016-07-25,2016-07-26,3,7
318,183,Completed,2016-07-17,2016-07-28,2016-07-25,3,9
319,488,Completed,2016-07-17,2016-07-23,2016-07-24,1,3
320,846,Completed,2016-07-17,2016-07-23,2016-07-18,1,3
321,124,Completed,2016-07-17,2016-07-27,2016-07-27,3,2
322,985,Completed,2016-07-18,2016-07-24,2016-08-03,1,1
323,790,Completed,2016-07-18,2016-07-28,2016-07-19,2,1
324,414,Completed,2016-07-18,2016-07-24,2016-08-02,2,3
325,1196,Shipped,2016-07-18,2016-07-26,2016-07-28,1,7
326,1312,Completed,2016-07-19,2016-07-30,2016-07-21,1,9
327,686,Completed,2016-07-21,2016-08-02,,1,2
328,113,Completed,2016-07-21,2016-07-28,2016-07-22,2,7
329,888,Processing,2016-07-21,2016-08-03,2016-07-23,1,1
330,122,Completed,2016-07-22,2016-07-28,2016-07-29,3,2
331,1246,Completed,2016-07-23,2016-08-04,2016-07-25,1,6
332,39,Completed,2016-07-23,2016-08-04,2016-07-25,3,5
333,497,Cancelled,2016-07-23,2016-07-31,2016-07-31,1,8
334,780,Completed,2016-07-23,2016-07-28,2016-07-26,1,2
335,1257,Processing,2016-07-23,2016-07-28,2016-07-24,2,1
336,943,Completed,2016-07-24,2016-07-30,2016-08-06,3,7
337,149,Completed,2016-07-27,2016-08-09,2016-07-31,3,6
338,1421,Processing,2016-07-29,2016-08-04,2016-07-30,3,8
339,1022,Completed,2016-07-29,2016-08-04,2016-08-01,2,8
340,661,Shipped,2016-08-01,2016-08-11,2016-08-03,3,2
341,302,Shipped,2016-08-02,2016-08-13,,2,8
342,1384,Shipped,2016-08-02,2016-08-13,2016-08-17,1,6
343,238,Completed,2016-08-02,2016-08-15,2016-08-05,1,9
344,647,Processing,2016-08-05,2016-08-15,,3,7
345,663,Completed,2016-08-06,2016-08-18,,1,2
346,236,Shipped,2016-08-06,2016-08-16,2016-08-09,1,8
347,203,Pending,2016-08-07,2016-08-13,2016-08-08,3,9
348,256,Processing,2016-08-07,2016-08-12,2016-08-08,1,7
349,598,Completed,2016-08-08,2016-08-17,2016-08-11,3,4
350,662,Completed,2016-08-09,2016-08-22,2016-08-10,3,9
351,235,Completed,2016-08-12,2016-08-24,2016-08-17,1,4
352,1369,Processing,2016-08-12,2016-08-20,2016-08-14,1,4
353,534,Completed,2016-08-13,2016-08-22,,1,9
354,860,Completed,2016-08-13,2016-08-22,2016-09-01,1,8
355,770,Processing,2016-08-14,2016-08-24,2016-08-20,1,4
356,541,Completed,2016-08-15,2016-08-22,,2,8
357,213,Completed,2016-08-17,2016-08-26,2016-08-18,1,8
358,463,Completed,2016-08-17,2016-08-23,2016-08-29,2,7
359,436,Completed,2016-08-18,2016-09-01,2016-08-21,3,10
360,283,Completed,2016-08-19,2016-08-24,2016-09-02,1,6
361,1431,Completed,2016-08-20,2016-08-25,2016-08-21,1,8
362,88,Completed,2016-08-20,2016-09-03,2016-08-21,1,7
363,1068,Completed,2016-08-21,2016-09-01,2016-08-24,3,5
364,461,Processing,2016-08-21,2016-08-27,2016-08-23,2,4
365,278,Completed,2016-08-23,2016-08-31,2016-08-26,2,2
366,421,Completed,2016-08-24,2016-09-02,2016-08-29,1,8
367,1377,Shipped,2016-08-24,2016-09-04,2016-09-06,1,9
368,696,Completed,2016-08-25,2016-08-31,2016-08-26,1,4
369,515,Completed,2016-08-26,2016-09-05,,1,4
370,703,Processing,2016-08-28,2016-09-02,2016-09-05,3,5
371,19,Shipped,2016-08-29,2016-09-09,2016-09-09,1,2
372,23,Processing,2016-08-29,2016-09-11,2016-09-01,3,7
373,413,Processing,2016-08-29,2016-09-07,,1,5
374,1054,Processing,2016-08-30,2016-09-08,2016-09-02,2,6
375,108,Completed,2016-08-31,2016-09-08,2016-09-04,2,4
376,1391,Processing,2016-08-31,2016-09-07,2016-09-01,1,8
377,1305,Completed,2016-09-01,2016-09-14,2016-09-02,1,8
378,1152,Shipped,2016-09-02,2016-09-11,2016-09-08,3,5
379,1253,Completed,2016-09-02,2016-09-14,2016-09-25,1,6
380,1135,Completed,2016-09-02,2016-09-15,2016-09-05,1,3
381,136,Completed,2016-09-02,2016-09-11,2016-09-04,1,1
382,362,Processing,2016-09-05,2016-09-19,2016-09-10,2,9
383,1210,Completed,2016-09-05,2016-09-18,2016-09-06,3,9
384,129,Shipped,2016-09-05,2016-09-11,2016-09-06,2,3
385,1285,Processing,2016-09-06,2016-09-19,2016-09-07,3,4
386,515,Completed,2016-09-06,2016-09-14,2016-09-09,2,7
387,449,Processing,2016-09-07,2016-09-17,2016-09-08,1,2
388,1128,Processing,2016-09-07,2016-09-17,2016-09-16,2,3
389,1248,Pending,2016-09-07,2016-09-17,2016-09-08,2,6
390,874,Completed,2016-09-08,2016-09-14,2016-09-10,3,8
391,473,Completed,2016-09-08,2016-09-19,2016-09-15,3,1
392,1034,Completed,2016-09-08,2016-09-18,2016-09-30,2,4
393,1429,Completed,2016-09-09,2016-09-14,2016-09-10,3,1
394,302,Shipped,2016-09-10,2016-09-16,2016-09-12,3,2
395,231,Completed,2016-09-10,2016-09-21,2016-09-24,3,8
396,923,Processing,2016-09-10,2016-09-15,2016-09-11,3,6
397,1090,Completed,2016-09-11,2016-09-16,2016-09-17,3,9
398,937,Completed,2016-09-12,2016-09-17,2016-09-22,2,2
399,112,Processing,2016-09-12,2016-09-24,2016-09-19,3,3
400,1037,Shipped,2016-09-12,2016-09-20,2016-09-16,1,9
401,1417,Completed,2016-09-15,2016-09-23,2016-09-16,2,9
402,500,Completed,2016-09-16,2016-09-22,2016-09-17,2,6
403,932,Completed,2016-09-16,2016-09-21,,2,3
404,598,Completed,2016-09-16,2016-09-30,2016-09-17,3,5
405,234,Completed,2016-09-17,2016-09-30,2016-09-20,1,2
406,602,Completed,2016-09-17,2016-09-28,2016-09-20,3,7
407,314,Completed,2016-09-17,2016-09-25,,2,10
408,566,Processing,2016-09-17,2016-09-27,2016-09-26,2,8
409,1036,Completed,2016-09-18,2016-09-24,2016-09-20,2,6
410,209,Completed,2016-09-19,2016-09-30,2016-09-30,2,8
411,1038,Completed,2016-09-19,2016-09-25,2016-09-23,3,2
412,1442,Processing,2016-09-21,2016-10-05,2016-09-22,1,3
413,1401,Shipped,2016-09-22,2016-10-04,2016-09-23,1,7
414,1044,Completed,2016-09-22,2016-10-04,2016-10-06,2,10
415,587,Processing,2016-09-22,2016-09-27,2016-09-30,1,1
416,1015,Completed,2016-09-22,2016-10-04,,2,7
417,1094,Completed,2016-09-23,2016-09-29,2016-09-24,2,6
418,1235,Completed,2016-09-23,2016-10-03,2016-09-30,1,8
419,1125,Completed,2016-09-24,2016-09-29,2016-10-02,2,7
420,698,Processing,2016-09-25,2016-10-04,2016-10-12,1,4
421,132,Shipped,2016-09-26,2016-10-07,2016-10-08,2,3
422,1405,Completed,2016-09-26,2016-10-10,2016-09-27,1,3
423,1156,Pending,2016-09-27,2016-10-02,2016-09-28,2,4
