UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_LIABILITIES),Year
KLQ,Kalitta Charters II,2,1259.0,2014
KLQ,Kalitta Charters II,3,1973.0,2014
KLQ,Kalitta Charters II,4,1158.0,2014
L2,Lynden Air Cargo Airlines,1,4313.0,2014
L2,Lynden Air Cargo Airlines,2,2979.0,2014
L2,Lynden Air Cargo Airlines,3,4260.0,2014
L2,Lynden Air Cargo Airlines,4,5811.0,2014
M6,Amerijet International,1,48654.0,2014
M6,Amerijet International,2,48801.0,2014
M6,Amerijet International,3,56682.0,2014
M6,Amerijet International,4,52523.0,2014
MQ,Envoy Air,1,140779.0,2014
MQ,Envoy Air,2,133250.0,2014
MQ,Envoy Air,3,137824.0,2014
MQ,Envoy Air,4,112182.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,1,18864.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,2,23948.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,3,35383.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,4,50955.0,2014
,North American Airlines,1,10354.0,2014
,North American Airlines,2,,2014
,North American Airlines,3,,2014
,North American Airlines,4,,2014
NC,Northern Air Cargo Inc.,1,5437.0,2014
NC,Northern Air Cargo Inc.,2,3696.0,2014
NC,Northern Air Cargo Inc.,3,1465.0,2014
NC,Northern Air Cargo Inc.,4,696.0,2014
NK,Spirit Air Lines,1,420423.0,2014
NK,Spirit Air Lines,2,406309.0,2014
NK,Spirit Air Lines,3,401808.0,2014
NK,Spirit Air Lines,4,373902.0,2014
OH,PSA Airlines Inc.,1,126991.0,2014
OH,PSA Airlines Inc.,2,139011.0,2014
OH,PSA Airlines Inc.,3,159091.0,2014
OH,PSA Airlines Inc.,4,172161.0,2014
OO,SkyWest Airlines Inc.,1,551912.0,2014
OO,SkyWest Airlines Inc.,2,584121.0,2014
OO,SkyWest Airlines Inc.,3,613621.0,2014
OO,SkyWest Airlines Inc.,4,539420.0,2014
PFQ,Asia Pacific,1,3557.0,2014
PFQ,Asia Pacific,2,3637.0,2014
PFQ,Asia Pacific,3,3590.0,2014
PFQ,Asia Pacific,4,3138.0,2014
PO,Polar Air Cargo Airways,1,66785.0,2014
PO,Polar Air Cargo Airways,2,75461.0,2014
PO,Polar Air Cargo Airways,3,135328.0,2014
PO,Polar Air Cargo Airways,4,81139.0,2014
PRQ,Florida West Airlines Inc.,1,2999.0,2014
PRQ,Florida West Airlines Inc.,2,2900.0,2014
PRQ,Florida West Airlines Inc.,3,897.0,2014
PRQ,Florida West Airlines Inc.,4,744.0,2014
QX,Horizon Air,1,267380.0,2014
QX,Horizon Air,2,234260.0,2014
QX,Horizon Air,3,219150.0,2014
QX,Horizon Air,4,201242.0,2014
RP,Chautauqua Airlines Inc.,1,100187.0,2014
RP,Chautauqua Airlines Inc.,2,95089.0,2014
RP,Chautauqua Airlines Inc.,3,102907.0,2014
RP,Chautauqua Airlines Inc.,4,89404.0,2014
S5,Shuttle America Corp.,1,138779.0,2014
S5,Shuttle America Corp.,2,132778.0,2014
S5,Shuttle America Corp.,3,135665.0,2014
S5,Shuttle America Corp.,4,121763.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,1,82642.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,2,94760.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,3,102325.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,4,141796.0,2014
U7,USA Jet Airlines Inc.,1,71359.0,2014
U7,USA Jet Airlines Inc.,2,47394.0,2014
U7,USA Jet Airlines Inc.,3,66453.0,2014
U7,USA Jet Airlines Inc.,4,46461.0,2014
UA,United Air Lines Inc.,1,13188115.0,2014
UA,United Air Lines Inc.,2,13429856.0,2014
UA,United Air Lines Inc.,3,12868410.0,2014
UA,United Air Lines Inc.,4,12512618.0,2014
US,US Airways Inc.,1,5069838.0,2014
US,US Airways Inc.,2,5159004.0,2014
US,US Airways Inc.,3,4694083.0,2014
US,US Airways Inc.,4,4338360.0,2014
VX,Virgin America,1,365049.0,2014
VX,Virgin America,2,365841.0,2014
VX,Virgin America,3,336072.0,2014
VX,Virgin America,4,337847.0,2014
WE,Centurion Cargo Inc.,1,90110.0,2014
WE,Centurion Cargo Inc.,2,97529.0,2014
WE,Centurion Cargo Inc.,3,95837.0,2014
WE,Centurion Cargo Inc.,4,75828.0,2014
WI,Sky Lease Cargo,1,25806.0,2014
WI,Sky Lease Cargo,2,23087.0,2014
WI,Sky Lease Cargo,3,25812.0,2014
WI,Sky Lease Cargo,4,14644.0,2014
WN,Southwest Airlines Co.,1,6440721.0,2014
WN,Southwest Airlines Co.,2,7027179.0,2014
WN,Southwest Airlines Co.,3,6445840.0,2014
WN,Southwest Airlines Co.,4,5922560.0,2014
WP,Island Air Hawaii,1,31019.0,2014
WP,Island Air Hawaii,2,33536.0,2014
WP,Island Air Hawaii,3,33999.0,2014
WP,Island Air Hawaii,4,9350.0,2014
X9,Omni Air International LLC,1,23643.0,2014
X9,Omni Air International LLC,2,45261.0,2014
X9,Omni Air International LLC,3,33584.0,2014
X9,Omni Air International LLC,4,32005.0,2014
XP,TEM Enterprises dba  Avelo Airlines,1,8792.0,2014
XP,TEM Enterprises dba  Avelo Airlines,2,9899.0,2014
XP,TEM Enterprises dba  Avelo Airlines,3,10870.0,2014
XP,TEM Enterprises dba  Avelo Airlines,4,4035.0,2014
YV,Mesa Airlines Inc.,1,-11686.0,2014
YV,Mesa Airlines Inc.,2,-1766.0,2014
YV,Mesa Airlines Inc.,3,20681.0,2014
YV,Mesa Airlines Inc.,4,9912.0,2014
YX,Republic Airline,1,196511.0,2014
YX,Republic Airline,2,216195.0,2014
YX,Republic Airline,3,224806.0,2014
YX,Republic Airline,4,235788.0,2014
ZW,Air Wisconsin Airlines Corp,1,164261.0,2014
ZW,Air Wisconsin Airlines Corp,2,164880.0,2014
ZW,Air Wisconsin Airlines Corp,3,158674.0,2014
ZW,Air Wisconsin Airlines Corp,4,161501.0,2014
All Rows,All Rows (including those not displayed),1,67124494.0,2014
All Rows,All Rows (including those not displayed),2,68533607.0,2014
All Rows,All Rows (including those not displayed),3,66218149.0,2014
All Rows,All Rows (including those not displayed),4,65330955.0,2014
0JQ,Vision Airlines,1,15408.0,2015
0JQ,Vision Airlines,2,15448.0,2015
0JQ,Vision Airlines,3,,2015
0JQ,Vision Airlines,4,,2015
0WQ,Avjet Corporation,1,12289.0,2015
0WQ,Avjet Corporation,2,14653.0,2015
0WQ,Avjet Corporation,3,10092.0,2015
0WQ,Avjet Corporation,4,12274.0,2015
23Q,Songbird Airways Inc.,1,863.0,2015
23Q,Songbird Airways Inc.,2,706.0,2015
23Q,Songbird Airways Inc.,3,495.0,2015
23Q,Songbird Airways Inc.,4,1041.0,2015
27Q,"Jet Aviation Flight Services, Inc.",1,,2015
27Q,"Jet Aviation Flight Services, Inc.",2,,2015
27Q,"Jet Aviation Flight Services, Inc.",3,36019.0,2015
27Q,"Jet Aviation Flight Services, Inc.",4,36952.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,5198.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2,5818.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3,5446.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,4,3110.0,2015
5X,United Parcel Service,1,621539.0,2015
5X,United Parcel Service,2,643910.0,2015
5X,United Parcel Service,3,659671.0,2015
5X,United Parcel Service,4,668808.0,2015
5Y,Atlas Air Inc.,1,351720.0,2015
5Y,Atlas Air Inc.,2,335347.0,2015
5Y,Atlas Air Inc.,3,319949.0,2015
5Y,Atlas Air Inc.,4,343844.0,2015
8C,Air Transport International,1,23633.0,2015
8C,Air Transport International,2,20108.0,2015
8C,Air Transport International,3,19938.0,2015
8C,Air Transport International,4,16658.0,2015
9E,Endeavor Air Inc.,1,71183.0,2015
9E,Endeavor Air Inc.,2,73513.0,2015
9E,Endeavor Air Inc.,3,72714.0,2015
9E,Endeavor Air Inc.,4,97141.0,2015
9S,Southern Air Inc.,1,23091.0,2015
9S,Southern Air Inc.,2,14501.0,2015
9S,Southern Air Inc.,3,14584.0,2015
9S,Southern Air Inc.,4,27545.0,2015
AA,American Airlines Inc.,1,12447316.0,2015
AA,American Airlines Inc.,2,13254898.0,2015
AA,American Airlines Inc.,3,14146174.0,2015
AA,American Airlines Inc.,4,13377518.0,2015
ABX,ABX Air Inc,1,59937.0,2015
ABX,ABX Air Inc,2,54038.0,2015
ABX,ABX Air Inc,3,57870.0,2015
ABX,ABX Air Inc,4,68076.0,2015
AS,Alaska Airlines Inc.,1,2273161.0,2015
AS,Alaska Airlines Inc.,2,2329658.0,2015
AS,Alaska Airlines Inc.,3,2271056.0,2015
AS,Alaska Airlines Inc.,4,2644681.0,2015
B6,JetBlue Airways,1,2202964.0,2015
B6,JetBlue Airways,2,2185456.0,2015
B6,JetBlue Airways,3,2226411.0,2015
B6,JetBlue Airways,4,2274845.0,2015
CP (2),Compass Airlines,1,12980.0,2015
CP (2),Compass Airlines,2,20572.0,2015
CP (2),Compass Airlines,3,16333.0,2015
CP (2),Compass Airlines,4,17952.0,2015
DL,Delta Air Lines Inc.,1,17704998.0,2015
DL,Delta Air Lines Inc.,2,17459466.0,2015
DL,Delta Air Lines Inc.,3,17991746.0,2015
DL,Delta Air Lines Inc.,4,17526653.0,2015
EE,Eastern Airlines Group Inc.,1,,2015
EE,Eastern Airlines Group Inc.,2,,2015
EE,Eastern Airlines Group Inc.,3,5476.0,2015
EE,Eastern Airlines Group Inc.,4,8990.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,1,312352.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,2,336243.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,3,324698.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,4,397522.0,2015
F9,Frontier Airlines Inc.,1,471123.0,2015
F9,Frontier Airlines Inc.,2,480941.0,2015
F9,Frontier Airlines Inc.,3,527606.0,2015
F9,Frontier Airlines Inc.,4,487936.0,2015
FCQ,Falcon Air Express,1,17526.0,2015
FCQ,Falcon Air Express,2,,2015
FCQ,Falcon Air Express,3,,2015
FCQ,Falcon Air Express,4,,2015
FX,Federal Express Corporation,1,3884224.0,2015
FX,Federal Express Corporation,2,3528546.0,2015
FX,Federal Express Corporation,3,3667879.0,2015
FX,Federal Express Corporation,4,3383872.0,2015
G4,Allegiant Air,1,369516.0,2015
