UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_ASSETS),Year
F9,Frontier Airlines Inc.,4,185645.0,2013
FX,Federal Express Corporation,1,3739036.0,2013
FX,Federal Express Corporation,2,3747966.0,2013
FX,Federal Express Corporation,3,3930071.0,2013
FX,Federal Express Corporation,4,3575743.0,2013
G4,Allegiant Air,1,402433.0,2013
G4,Allegiant Air,2,382144.0,2013
G4,Allegiant Air,3,366983.0,2013
G4,Allegiant Air,4,454122.0,2013
G7,GoJet Airlines LLC d/b/a United Express,1,33698.0,2013
G7,GoJet Airlines LLC d/b/a United Express,2,36490.0,2013
G7,GoJet Airlines LLC d/b/a United Express,3,26565.0,2013
G7,GoJet Airlines LLC d/b/a United Express,4,24532.0,2013
GFQ,Gulf And Caribbean Cargo,1,11394.0,2013
GFQ,Gulf And Caribbean Cargo,2,15631.0,2013
GFQ,Gulf And Caribbean Cargo,3,11750.0,2013
GFQ,Gulf And Caribbean Cargo,4,12181.0,2013
GL,Miami Air International,1,22517.0,2013
GL,Miami Air International,2,19444.0,2013
GL,Miami Air International,3,16885.0,2013
GL,Miami Air International,4,21458.0,2013
HA,Hawaiian Airlines Inc.,1,522545.0,2013
HA,Hawaiian Airlines Inc.,2,560872.0,2013
HA,Hawaiian Airlines Inc.,3,524369.0,2013
HA,Hawaiian Airlines Inc.,4,515044.0,2013
KAQ,Kalitta Air LLC,1,135928.0,2013
KAQ,Kalitta Air LLC,2,137294.0,2013
KAQ,Kalitta Air LLC,3,134836.0,2013
KAQ,Kalitta Air LLC,4,131938.0,2013
KH,Aloha Air Cargo,1,11069.0,2013
KH,Aloha Air Cargo,2,10195.0,2013
KH,Aloha Air Cargo,3,10367.0,2013
KH,Aloha Air Cargo,4,13632.0,2013
KLQ,Kalitta Charters II,1,11869.0,2013
KLQ,Kalitta Charters II,2,12285.0,2013
KLQ,Kalitta Charters II,3,12972.0,2013
KLQ,Kalitta Charters II,4,15265.0,2013
L2,Lynden Air Cargo Airlines,1,10568.0,2013
L2,Lynden Air Cargo Airlines,2,13056.0,2013
L2,Lynden Air Cargo Airlines,3,10210.0,2013
L2,Lynden Air Cargo Airlines,4,10133.0,2013
M6,Amerijet International,1,56460.0,2013
M6,Amerijet International,2,57011.0,2013
M6,Amerijet International,3,60887.0,2013
M6,Amerijet International,4,67407.0,2013
MQ,Envoy Air,1,413513.0,2013
MQ,Envoy Air,2,427657.0,2013
MQ,Envoy Air,3,446240.0,2013
MQ,Envoy Air,4,456150.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,1,37751.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,2,19532.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,3,32565.0,2013
N8,National Air Cargo Group Inc d/ba National Airlines,4,25744.0,2013
,North American Airlines,1,39213.0,2013
,North American Airlines,2,35308.0,2013
,North American Airlines,3,30493.0,2013
,North American Airlines,4,41496.0,2013
NC,Northern Air Cargo Inc.,1,26786.0,2013
NC,Northern Air Cargo Inc.,2,15411.0,2013
NC,Northern Air Cargo Inc.,3,30357.0,2013
NC,Northern Air Cargo Inc.,4,35069.0,2013
NK,Spirit Air Lines,1,605129.0,2013
NK,Spirit Air Lines,2,676612.0,2013
NK,Spirit Air Lines,3,661844.0,2013
NK,Spirit Air Lines,4,649075.0,2013
OH,PSA Airlines Inc.,1,39149.0,2013
OH,PSA Airlines Inc.,2,36874.0,2013
OH,PSA Airlines Inc.,3,37300.0,2013
OH,PSA Airlines Inc.,4,43059.0,2013
OO,SkyWest Airlines Inc.,1,1024194.0,2013
OO,SkyWest Airlines Inc.,2,1030175.0,2013
OO,SkyWest Airlines Inc.,3,1081861.0,2013
OO,SkyWest Airlines Inc.,4,1095770.0,2013
OW,Executive Airlines,1,3972.0,2013
OW,Executive Airlines,2,,2013
OW,Executive Airlines,3,,2013
OW,Executive Airlines,4,,2013
PFQ,Asia Pacific,1,6234.0,2013
PFQ,Asia Pacific,2,6373.0,2013
PFQ,Asia Pacific,3,6096.0,2013
PFQ,Asia Pacific,4,5436.0,2013
PO,Polar Air Cargo Airways,1,88512.0,2013
PO,Polar Air Cargo Airways,2,88658.0,2013
PO,Polar Air Cargo Airways,3,92050.0,2013
PO,Polar Air Cargo Airways,4,79762.0,2013
PRQ,Florida West Airlines Inc.,1,3701.0,2013
PRQ,Florida West Airlines Inc.,2,4031.0,2013
PRQ,Florida West Airlines Inc.,3,4177.0,2013
PRQ,Florida West Airlines Inc.,4,4262.0,2013
QX,Horizon Air,1,183163.0,2013
QX,Horizon Air,2,183834.0,2013
QX,Horizon Air,3,180897.0,2013
QX,Horizon Air,4,189056.0,2013
RP,Chautauqua Airlines Inc.,1,162791.0,2013
RP,Chautauqua Airlines Inc.,2,169714.0,2013
RP,Chautauqua Airlines Inc.,3,170436.0,2013
RP,Chautauqua Airlines Inc.,4,218646.0,2013
S5,Shuttle America Corp.,1,240761.0,2013
S5,Shuttle America Corp.,2,234821.0,2013
S5,Shuttle America Corp.,3,244020.0,2013
S5,Shuttle America Corp.,4,102474.0,2013
SLQ,Sky King Inc.,1,2381.0,2013
SLQ,Sky King Inc.,2,2406.0,2013
SLQ,Sky King Inc.,3,1811.0,2013
SLQ,Sky King Inc.,4,1982.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,1,89390.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,2,93802.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,3,87017.0,2013
SY,Sun Country Airlines d/b/a MN Airlines,4,83911.0,2013
U7,USA Jet Airlines Inc.,1,33218.0,2013
U7,USA Jet Airlines Inc.,2,28648.0,2013
U7,USA Jet Airlines Inc.,3,45370.0,2013
U7,USA Jet Airlines Inc.,4,43710.0,2013
UA,United Air Lines Inc.,1,9371843.0,2013
UA,United Air Lines Inc.,2,9837346.0,2013
UA,United Air Lines Inc.,3,9608715.0,2013
UA,United Air Lines Inc.,4,8695051.0,2013
US,US Airways Inc.,1,4019618.0,2013
US,US Airways Inc.,2,5091053.0,2013
US,US Airways Inc.,3,5639403.0,2013
US,US Airways Inc.,4,5167498.0,2013
VX,Virgin America,1,262950.0,2013
VX,Virgin America,2,346688.0,2013
VX,Virgin America,3,318806.0,2013
VX,Virgin America,4,282555.0,2013
WE,Centurion Cargo Inc.,1,48117.0,2013
WE,Centurion Cargo Inc.,2,60327.0,2013
WE,Centurion Cargo Inc.,3,52334.0,2013
WE,Centurion Cargo Inc.,4,47650.0,2013
WI,Sky Lease Cargo,1,19574.0,2013
WI,Sky Lease Cargo,2,23967.0,2013
WI,Sky Lease Cargo,3,16511.0,2013
WI,Sky Lease Cargo,4,6769.0,2013
WN,Southwest Airlines Co.,1,4258271.0,2013
WN,Southwest Airlines Co.,2,4577334.0,2013
WN,Southwest Airlines Co.,3,4540411.0,2013
WN,Southwest Airlines Co.,4,4288336.0,2013
WO (1),World Airways Inc.,1,51287.0,2013
WO (1),World Airways Inc.,2,37497.0,2013
WO (1),World Airways Inc.,3,44245.0,2013
WO (1),World Airways Inc.,4,40594.0,2013
WP,Island Air Hawaii,1,4200.0,2013
WP,Island Air Hawaii,2,2744.0,2013
WP,Island Air Hawaii,3,2784.0,2013
WP,Island Air Hawaii,4,2605.0,2013
X9,Omni Air International LLC,1,68552.0,2013
X9,Omni Air International LLC,2,75079.0,2013
X9,Omni Air International LLC,3,75059.0,2013
X9,Omni Air International LLC,4,75039.0,2013
XP,TEM Enterprises dba  Avelo Airlines,1,2637.0,2013
XP,TEM Enterprises dba  Avelo Airlines,2,2280.0,2013
XP,TEM Enterprises dba  Avelo Airlines,3,2286.0,2013
XP,TEM Enterprises dba  Avelo Airlines,4,2927.0,2013
YV,Mesa Airlines Inc.,1,50435.0,2013
YV,Mesa Airlines Inc.,2,64786.0,2013
YV,Mesa Airlines Inc.,3,60351.0,2013
YV,Mesa Airlines Inc.,4,67023.0,2013
YX,Republic Airline,1,204475.0,2013
YX,Republic Airline,2,72888.0,2013
YX,Republic Airline,3,67054.0,2013
YX,Republic Airline,4,135751.0,2013
ZW,Air Wisconsin Airlines Corp,1,31666.0,2013
ZW,Air Wisconsin Airlines Corp,2,28924.0,2013
ZW,Air Wisconsin Airlines Corp,3,36872.0,2013
ZW,Air Wisconsin Airlines Corp,4,29234.0,2013
All Rows,All Rows (including those not displayed),1,46129089.0,2013
All Rows,All Rows (including those not displayed),2,50713996.0,2013
All Rows,All Rows (including those not displayed),3,52546833.0,2013
All Rows,All Rows (including those not displayed),4,48962889.0,2013
0JQ,Vision Airlines,1,10006.0,2014
0JQ,Vision Airlines,2,7407.0,2014
0JQ,Vision Airlines,3,12100.0,2014
0JQ,Vision Airlines,4,10220.0,2014
0WQ,Avjet Corporation,1,14620.0,2014
0WQ,Avjet Corporation,2,16089.0,2014
0WQ,Avjet Corporation,3,16289.0,2014
0WQ,Avjet Corporation,4,17748.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,13574.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2,14109.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3,15102.0,2014
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,4,12259.0,2014
5X,United Parcel Service,1,1603336.0,2014
5X,United Parcel Service,2,668267.0,2014
5X,United Parcel Service,3,647625.0,2014
5X,United Parcel Service,4,1124992.0,2014
5Y,Atlas Air Inc.,1,323211.0,2014
5Y,Atlas Air Inc.,2,333242.0,2014
5Y,Atlas Air Inc.,3,324298.0,2014
5Y,Atlas Air Inc.,4,343463.0,2014
8C,Air Transport International,1,10464.0,2014
8C,Air Transport International,2,12180.0,2014
8C,Air Transport International,3,7801.0,2014
8C,Air Transport International,4,12391.0,2014
9E,Endeavor Air Inc.,1,98217.0,2014
9E,Endeavor Air Inc.,2,98089.0,2014
9E,Endeavor Air Inc.,3,92497.0,2014
9E,Endeavor Air Inc.,4,95055.0,2014
9S,Southern Air Inc.,1,24907.0,2014
9S,Southern Air Inc.,2,24261.0,2014
9S,Southern Air Inc.,3,29243.0,2014
9S,Southern Air Inc.,4,27985.0,2014
AA,American Airlines Inc.,1,9451537.0,2014
AA,American Airlines Inc.,2,9284743.0,2014
AA,American Airlines Inc.,3,8189040.0,2014
AA,American Airlines Inc.,4,7257385.0,2014
ABX,ABX Air Inc,1,374163.0,2014
ABX,ABX Air Inc,2,373000.0,2014
ABX,ABX Air Inc,3,365297.0,2014
ABX,ABX Air Inc,4,368367.0,2014
AS,Alaska Airlines Inc.,1,2653646.0,2014
AS,Alaska Airlines Inc.,2,2840182.0,2014
AS,Alaska Airlines Inc.,3,2865409.0,2014
AS,Alaska Airlines Inc.,4,2979093.0,2014
B6,JetBlue Airways,1,1219197.0,2014
B6,JetBlue Airways,2,1264707.0,2014
B6,JetBlue Airways,3,1215656.0,2014
B6,JetBlue Airways,4,1199872.0,2014
CP (2),Compass Airlines,1,31963.0,2014
CP (2),Compass Airlines,2,35192.0,2014
CP (2),Compass Airlines,3,38353.0,2014
CP (2),Compass Airlines,4,36011.0,2014
DL,Delta Air Lines Inc.,1,10254999.0,2014
DL,Delta Air Lines Inc.,2,11004833.0,2014
DL,Delta Air Lines Inc.,3,11494735.0,2014
DL,Delta Air Lines Inc.,4,12982675.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,1,557802.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,2,481935.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,3,486535.0,2014
EV,ExpressJet Airlines LLC d/b/a aha!,4,342619.0,2014
F9,Frontier Airlines Inc.,1,189435.0,2014
F9,Frontier Airlines Inc.,2,259322.0,2014
F9,Frontier Airlines Inc.,3,340295.0,2014
F9,Frontier Airlines Inc.,4,376654.0,2014
FX,Federal Express Corporation,1,3970976.0,2014
FX,Federal Express Corporation,2,4152282.0,2014
FX,Federal Express Corporation,3,4127576.0,2014
FX,Federal Express Corporation,4,3649407.0,2014
G4,Allegiant Air,1,555530.0,2014
G4,Allegiant Air,2,576247.0,2014
G4,Allegiant Air,3,550634.0,2014
G4,Allegiant Air,4,519039.0,2014
G7,GoJet Airlines LLC d/b/a United Express,1,25113.0,2014
G7,GoJet Airlines LLC d/b/a United Express,2,21905.0,2014
G7,GoJet Airlines LLC d/b/a United Express,3,24183.0,2014
G7,GoJet Airlines LLC d/b/a United Express,4,21818.0,2014
GFQ,Gulf And Caribbean Cargo,1,16229.0,2014
GFQ,Gulf And Caribbean Cargo,2,14620.0,2014
GFQ,Gulf And Caribbean Cargo,3,19979.0,2014
GFQ,Gulf And Caribbean Cargo,4,14133.0,2014
GL,Miami Air International,1,18160.0,2014
GL,Miami Air International,2,17891.0,2014
GL,Miami Air International,3,21205.0,2014
GL,Miami Air International,4,22481.0,2014
HA,Hawaiian Airlines Inc.,1,616620.0,2014
HA,Hawaiian Airlines Inc.,2,694425.0,2014
HA,Hawaiian Airlines Inc.,3,702624.0,2014
HA,Hawaiian Airlines Inc.,4,619887.0,2014
KAQ,Kalitta Air LLC,1,124669.0,2014
KAQ,Kalitta Air LLC,2,130729.0,2014
KAQ,Kalitta Air LLC,3,129168.0,2014
KAQ,Kalitta Air LLC,4,126168.0,2014
KD,Western Global,1,,2014
KD,Western Global,2,,2014
KD,Western Global,3,847.0,2014
KD,Western Global,4,3040.0,2014
KH,Aloha Air Cargo,1,12579.0,2014
KH,Aloha Air Cargo,2,11888.0,2014
KH,Aloha Air Cargo,3,10702.0,2014
KH,Aloha Air Cargo,4,14909.0,2014
KLQ,Kalitta Charters II,1,17951.0,2014
KLQ,Kalitta Charters II,2,16465.0,2014
KLQ,Kalitta Charters II,3,19770.0,2014
KLQ,Kalitta Charters II,4,22352.0,2014
L2,Lynden Air Cargo Airlines,1,7870.0,2014
L2,Lynden Air Cargo Airlines,2,7107.0,2014
L2,Lynden Air Cargo Airlines,3,14473.0,2014
L2,Lynden Air Cargo Airlines,4,9802.0,2014
M6,Amerijet International,1,67753.0,2014
M6,Amerijet International,2,67634.0,2014
M6,Amerijet International,3,67758.0,2014
M6,Amerijet International,4,74503.0,2014
MQ,Envoy Air,1,464147.0,2014
MQ,Envoy Air,2,475418.0,2014
MQ,Envoy Air,3,491450.0,2014
MQ,Envoy Air,4,485354.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,1,28627.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,2,32836.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,3,30639.0,2014
N8,National Air Cargo Group Inc d/ba National Airlines,4,39130.0,2014
,North American Airlines,1,32227.0,2014
,North American Airlines,2,,2014
,North American Airlines,3,,2014
,North American Airlines,4,,2014
NC,Northern Air Cargo Inc.,1,34877.0,2014
NC,Northern Air Cargo Inc.,2,36628.0,2014
NC,Northern Air Cargo Inc.,3,39471.0,2014
NC,Northern Air Cargo Inc.,4,40542.0,2014
NK,Spirit Air Lines,1,675377.0,2014
NK,Spirit Air Lines,2,688461.0,2014
NK,Spirit Air Lines,3,704123.0,2014
NK,Spirit Air Lines,4,731141.0,2014
OH,PSA Airlines Inc.,1,40209.0,2014
OH,PSA Airlines Inc.,2,45433.0,2014
OH,PSA Airlines Inc.,3,54259.0,2014
OH,PSA Airlines Inc.,4,81864.0,2014
OO,SkyWest Airlines Inc.,1,1071852.0,2014
OO,SkyWest Airlines Inc.,2,1042226.0,2014
OO,SkyWest Airlines Inc.,3,1067088.0,2014
OO,SkyWest Airlines Inc.,4,1069046.0,2014
PFQ,Asia Pacific,1,6385.0,2014
PFQ,Asia Pacific,2,6268.0,2014
PFQ,Asia Pacific,3,5228.0,2014
PFQ,Asia Pacific,4,4923.0,2014
PO,Polar Air Cargo Airways,1,80792.0,2014
PO,Polar Air Cargo Airways,2,89502.0,2014
PO,Polar Air Cargo Airways,3,149437.0,2014
PO,Polar Air Cargo Airways,4,95088.0,2014
PRQ,Florida West Airlines Inc.,1,3519.0,2014
PRQ,Florida West Airlines Inc.,2,3560.0,2014
PRQ,Florida West Airlines Inc.,3,2975.0,2014
PRQ,Florida West Airlines Inc.,4,3169.0,2014
QX,Horizon Air,1,192612.0,2014
QX,Horizon Air,2,196830.0,2014
QX,Horizon Air,3,189432.0,2014
QX,Horizon Air,4,186512.0,2014
RP,Chautauqua Airlines Inc.,1,208714.0,2014
RP,Chautauqua Airlines Inc.,2,205277.0,2014
RP,Chautauqua Airlines Inc.,3,180101.0,2014
RP,Chautauqua Airlines Inc.,4,180010.0,2014
S5,Shuttle America Corp.,1,241789.0,2014
S5,Shuttle America Corp.,2,237694.0,2014
S5,Shuttle America Corp.,3,247331.0,2014
S5,Shuttle America Corp.,4,221691.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,1,75753.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,2,98099.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,3,103722.0,2014
SY,Sun Country Airlines d/b/a MN Airlines,4,120094.0,2014
U7,USA Jet Airlines Inc.,1,66763.0,2014
U7,USA Jet Airlines Inc.,2,43167.0,2014
U7,USA Jet Airlines Inc.,3,51546.0,2014
U7,USA Jet Airlines Inc.,4,53858.0,2014
UA,United Air Lines Inc.,1,8824175.0,2014
UA,United Air Lines Inc.,2,9653977.0,2014
UA,United Air Lines Inc.,3,9267802.0,2014
UA,United Air Lines Inc.,4,8180342.0,2014
US,US Airways Inc.,1,5927449.0,2014
US,US Airways Inc.,2,6147749.0,2014
US,US Airways Inc.,3,6212343.0,2014
US,US Airways Inc.,4,4746142.0,2014
VX,Virgin America,1,330448.0,2014
VX,Virgin America,2,385844.0,2014
VX,Virgin America,3,358510.0,2014
VX,Virgin America,4,438931.0,2014
WE,Centurion Cargo Inc.,1,69661.0,2014
WE,Centurion Cargo Inc.,2,51940.0,2014
WE,Centurion Cargo Inc.,3,42817.0,2014
WE,Centurion Cargo Inc.,4,42272.0,2014
WI,Sky Lease Cargo,1,18236.0,2014
WI,Sky Lease Cargo,2,16111.0,2014
WI,Sky Lease Cargo,3,17728.0,2014
WI,Sky Lease Cargo,4,20295.0,2014
WN,Southwest Airlines Co.,1,4633357.0,2014
WN,Southwest Airlines Co.,2,5151691.0,2014
WN,Southwest Airlines Co.,3,4748069.0,2014
WN,Southwest Airlines Co.,4,3926903.0,2014
WP,Island Air Hawaii,1,3128.0,2014
WP,Island Air Hawaii,2,4570.0,2014
WP,Island Air Hawaii,3,3971.0,2014
WP,Island Air Hawaii,4,9407.0,2014
X9,Omni Air International LLC,1,78288.0,2014
X9,Omni Air International LLC,2,78492.0,2014
X9,Omni Air International LLC,3,74254.0,2014
X9,Omni Air International LLC,4,61403.0,2014
XP,TEM Enterprises dba  Avelo Airlines,1,3853.0,2014
XP,TEM Enterprises dba  Avelo Airlines,2,3032.0,2014
XP,TEM Enterprises dba  Avelo Airlines,3,3026.0,2014
XP,TEM Enterprises dba  Avelo Airlines,4,4750.0,2014
YV,Mesa Airlines Inc.,1,60411.0,2014
YV,Mesa Airlines Inc.,2,63533.0,2014
YV,Mesa Airlines Inc.,3,61600.0,2014
YV,Mesa Airlines Inc.,4,51801.0,2014
YX,Republic Airline,1,147190.0,2014
YX,Republic Airline,2,146889.0,2014
YX,Republic Airline,3,125066.0,2014
YX,Republic Airline,4,139978.0,2014
ZW,Air Wisconsin Airlines Corp,1,43770.0,2014
ZW,Air Wisconsin Airlines Corp,2,33771.0,2014
ZW,Air Wisconsin Airlines Corp,3,31677.0,2014
ZW,Air Wisconsin Airlines Corp,4,30790.0,2014
All Rows,All Rows (including those not displayed),1,55628136.0,2014
All Rows,All Rows (including those not displayed),2,57367751.0,2014
All Rows,All Rows (including those not displayed),3,56092860.0,2014
All Rows,All Rows (including those not displayed),4,53249765.0,2014
0JQ,Vision Airlines,1,7924.0,2015
0JQ,Vision Airlines,2,9181.0,2015
0JQ,Vision Airlines,3,,2015
0JQ,Vision Airlines,4,,2015
0WQ,Avjet Corporation,1,14342.0,2015
0WQ,Avjet Corporation,2,18823.0,2015
0WQ,Avjet Corporation,3,16906.0,2015
0WQ,Avjet Corporation,4,19825.0,2015
23Q,Songbird Airways Inc.,1,1365.0,2015
23Q,Songbird Airways Inc.,2,1144.0,2015
23Q,Songbird Airways Inc.,3,1820.0,2015
23Q,Songbird Airways Inc.,4,1388.0,2015
27Q,"Jet Aviation Flight Services, Inc.",1,,2015
27Q,"Jet Aviation Flight Services, Inc.",2,,2015
27Q,"Jet Aviation Flight Services, Inc.",3,23421.0,2015
27Q,"Jet Aviation Flight Services, Inc.",4,29673.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,12676.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2,16162.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3,17865.0,2015
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,4,16692.0,2015
5X,United Parcel Service,1,1010452.0,2015
5X,United Parcel Service,2,578158.0,2015
5X,United Parcel Service,3,1237045.0,2015
5X,United Parcel Service,4,722970.0,2015
5Y,Atlas Air Inc.,1,343921.0,2015
5Y,Atlas Air Inc.,2,305071.0,2015
5Y,Atlas Air Inc.,3,335181.0,2015
5Y,Atlas Air Inc.,4,297086.0,2015
8C,Air Transport International,1,17842.0,2015
8C,Air Transport International,2,9800.0,2015
8C,Air Transport International,3,17776.0,2015
8C,Air Transport International,4,18249.0,2015
9E,Endeavor Air Inc.,1,143255.0,2015
9E,Endeavor Air Inc.,2,140002.0,2015
9E,Endeavor Air Inc.,3,133549.0,2015
9E,Endeavor Air Inc.,4,149484.0,2015
9S,Southern Air Inc.,1,20562.0,2015
9S,Southern Air Inc.,2,12404.0,2015
9S,Southern Air Inc.,3,15509.0,2015
9S,Southern Air Inc.,4,23613.0,2015
AA,American Airlines Inc.,1,8432464.0,2015
AA,American Airlines Inc.,2,8898586.0,2015
AA,American Airlines Inc.,3,13657329.0,2015
AA,American Airlines Inc.,4,11163621.0,2015
ABX,ABX Air Inc,1,361610.0,2015
ABX,ABX Air Inc,2,359422.0,2015
ABX,ABX Air Inc,3,347924.0,2015
ABX,ABX Air Inc,4,347334.0,2015
AS,Alaska Airlines Inc.,1,3153765.0,2015
AS,Alaska Airlines Inc.,2,3345093.0,2015
AS,Alaska Airlines Inc.,3,3662707.0,2015
AS,Alaska Airlines Inc.,4,3829405.0,2015
B6,JetBlue Airways,1,1510654.0,2015
B6,JetBlue Airways,2,1404506.0,2015
B6,JetBlue Airways,3,1626031.0,2015
B6,JetBlue Airways,4,1372418.0,2015
CP (2),Compass Airlines,1,35643.0,2015
CP (2),Compass Airlines,2,38953.0,2015
CP (2),Compass Airlines,3,32610.0,2015
CP (2),Compass Airlines,4,38251.0,2015
DL,Delta Air Lines Inc.,1,12711752.0,2015
DL,Delta Air Lines Inc.,2,11884340.0,2015
DL,Delta Air Lines Inc.,3,12428955.0,2015
DL,Delta Air Lines Inc.,4,9003915.0,2015
EE,Eastern Airlines Group Inc.,1,,2015
EE,Eastern Airlines Group Inc.,2,,2015
EE,Eastern Airlines Group Inc.,3,2242.0,2015
EE,Eastern Airlines Group Inc.,4,5392.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,1,382058.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,2,415613.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,3,410327.0,2015
EV,ExpressJet Airlines LLC d/b/a aha!,4,368242.0,2015
F9,Frontier Airlines Inc.,1,490746.0,2015
F9,Frontier Airlines Inc.,2,483093.0,2015
F9,Frontier Airlines Inc.,3,479426.0,2015
F9,Frontier Airlines Inc.,4,532763.0,2015
FCQ,Falcon Air Express,1,2532.0,2015
FCQ,Falcon Air Express,2,,2015
FCQ,Falcon Air Express,3,,2015
FCQ,Falcon Air Express,4,,2015
FX,Federal Express Corporation,1,3949584.0,2015
FX,Federal Express Corporation,2,4106452.0,2015
FX,Federal Express Corporation,3,3985705.0,2015
FX,Federal Express Corporation,4,4100638.0,2015
